user,item,rating,genre
9,84,5.0,"science, classics, fantasy, art, nonfiction, fiction"
9,74,4.0,"memoir, sports, contemporary, history, classics, fiction"
9,9,3.0,"fiction, fantasy, mystery, ebooks, science, crime, classics, contemporary"
9,49,4.0,"ebooks, fiction, fantasy, classics, science"
9,85,5.0,"history, fiction, classics, contemporary, crime, thriller, biography"
9,77,4.0,"contemporary, classics, romance, fiction"
9,14,4.0,"science, psychology, sports, biography, nonfiction, philosophy, contemporary, fiction, memoir, music, history"
9,89,5.0,"fiction, classics, philosophy, poetry, history, fantasy"
9,90,4.0,"ebooks, fiction, classics, history, travel, nonfiction, biography, memoir"
9,92,5.0,"ebooks, business, nonfiction, biography, history"
9,93,5.0,"ebooks, suspense, crime, classics, mystery, thriller, fiction"
9,94,3.0,"classics, memoir, nonfiction, biography, fiction, history, travel"
9,95,3.0,"fiction, thriller, mystery, suspense, ebooks, contemporary, crime"
10,96,3.0,"nonfiction, biography, fiction, history"
10,92,4.0,"business, biography, nonfiction, ebooks, history"
10,100,5.0,"contemporary, classics, fantasy, romance, ebooks, fiction"
10,102,4.0,"philosophy, fiction, spirituality, nonfiction, romance, classics, travel, religion, contemporary, ebooks, biography, fantasy, memoir"
10,103,4.0,"romance, music, fiction, contemporary, classics, suspense, mystery"
11,105,4.0,"mystery, fantasy, manga, fiction, comics, romance"
11,106,4.0,"contemporary, philosophy, fiction, biography, nonfiction, memoir, romance, ebooks, psychology, business"
11,107,3.0,"classics, fiction, romance, ebooks"
11,110,4.0,"crime, ebooks, thriller, suspense, fiction, mystery, classics"
11,93,4.0,"ebooks, suspense, crime, classics, mystery, thriller, fiction"
11,111,3.0,"ebooks, psychology, business, philosophy, classics, nonfiction"
11,113,3.0,"fantasy, classics, poetry, fiction"
12,115,3.0,"fiction, contemporary, philosophy, classics"
12,116,4.0,"classics, fiction"
12,117,4.0,"history, ebooks, art, romance, classics, fantasy, mystery, thriller, suspense, crime, fiction, contemporary, religion"
12,118,3.0,"history, memoir, nonfiction, biography, business, philosophy, psychology"
12,97,3.0,"fiction, travel, history, classics, nonfiction, philosophy"
12,119,3.0,"ebooks, romance, fiction, classics"
12,121,3.0,"thriller, fiction, mystery, contemporary, ebooks, crime, suspense"
12,122,3.0,"history, nonfiction, biography, classics"
13,22,4.0,"romance, mystery, paranormal, classics, fantasy, fiction, contemporary"
13,123,3.0,"mystery, romance, fantasy, paranormal, fiction"
13,24,5.0,"fiction, fantasy, contemporary, mystery, classics, paranormal"
13,124,3.0,"fiction, fantasy, classics, science, ebooks, contemporary, philosophy"
13,70,3.0,"contemporary, biography, history, ebooks, memoir, fiction, travel, nonfiction"
13,125,4.0,"ebooks, contemporary, fiction, history, biography, memoir, nonfiction, travel"
13,25,5.0,"contemporary, ebooks, history, nonfiction"
13,58,3.0,"fantasy, classics, fiction, ebooks"
13,27,5.0,"science, nonfiction, fiction, art, fantasy"
13,73,4.0,"classics, fiction, contemporary"
13,60,5.0,"classics, ebooks, fiction"
13,61,3.0,"fiction, fantasy, classics, science, ebooks, religion, philosophy"
13,84,4.0,"fiction, fantasy, nonfiction, classics, art, science"
13,127,3.0,"nonfiction, memoir, contemporary, poetry, biography, fiction"
13,88,4.0,"psychology, nonfiction, business"
13,128,4.0,"ebooks, thriller, mystery, fiction, crime, classics, suspense"
13,129,5.0,"psychology, religion, history, nonfiction, philosophy, science"
13,130,5.0,"contemporary, ebooks, suspense, crime, thriller, mystery, fiction"
14,22,4.0,"classics, paranormal, mystery, romance, contemporary, fiction, fantasy"
14,26,4.0,"fiction, fantasy, classics"
14,75,3.0,"fiction, contemporary, romance"
14,8,4.0,"classics, fiction, romance, contemporary"
14,62,4.0,"classics, fiction, fantasy"
14,14,4.0,"philosophy, history, contemporary, fiction, memoir, music, nonfiction, sports, biography, psychology, science"
14,88,3.0,"nonfiction, business, psychology"
14,64,4.0,"fiction, classics, business, contemporary, fantasy, romance, ebooks, science, mystery, philosophy"
14,132,2.0,"fantasy, mystery, fiction, classics, contemporary"
14,17,3.0,"fiction, ebooks, music, spirituality, philosophy, psychology, business, art, nonfiction"
14,133,3.0,"science, psychology, nonfiction, business"
14,134,3.0,"fiction, contemporary, mystery, romance, fantasy, classics, science, ebooks"
15,135,4.0,"classics, fiction, ebooks, romance"
15,136,4.0,"fiction, contemporary, ebooks"
15,138,2.0,"romance, contemporary, fiction, classics, ebooks"
15,139,5.0,"travel, science, nonfiction, history, fiction, biography, ebooks"
15,143,3.0,"fiction, ebooks, fantasy"
15,144,2.0,"fantasy, fiction, classics, ebooks"
16,85,3.0,"biography, thriller, contemporary, fiction, crime, classics, history"
16,14,5.0,"biography, science, nonfiction, psychology, memoir, fiction, contemporary, philosophy, history, music, sports"
16,146,4.0,"fiction, history, contemporary, fantasy, classics"
16,116,4.0,"classics, fiction"
16,97,5.0,"travel, fiction, philosophy, nonfiction, classics, history"
16,149,4.0,"fiction, fantasy, philosophy, ebooks, horror"
16,150,4.0,"ebooks, contemporary, fiction, romance"
17,41,3.0,"nonfiction, science, history, philosophy, ebooks, fiction, classics"
17,42,2.0,"nonfiction, science, history, cookbooks, ebooks, memoir, philosophy"
17,152,3.0,"ebooks, suspense, fiction, crime, classics, mystery, thriller"
17,153,3.0,"history, thriller, fantasy, mystery, fiction, horror, ebooks, suspense, paranormal"
17,156,4.0,"biography, nonfiction, history, classics, memoir, fiction, religion"
18,158,5.0,"philosophy, classics, religion, ebooks, biography, mystery, nonfiction, science, fantasy, fiction"
18,37,3.0,"history, nonfiction, biography, fiction, ebooks, classics"
18,159,5.0,"business, history, biography, nonfiction, memoir, fiction, ebooks"
18,160,2.0,contemporary
18,162,4.0,"fiction, history, business, nonfiction"
19,76,4.0,"ebooks, romance, fiction, classics"
19,30,4.0,"thriller, crime, fantasy, mystery, history, suspense, contemporary, horror, fiction, classics"
19,126,3.0,"romance, fiction, fantasy, classics, science"
19,17,5.0,"ebooks, fiction, art, nonfiction, business, music, spirituality, philosophy, psychology"
19,160,3.0,contemporary
20,68,4.0,"classics, fiction, thriller, contemporary, mystery, paranormal, fantasy"
20,72,3.0,"contemporary, ebooks, history, fiction, memoir, biography, travel, nonfiction"
20,58,4.0,"fantasy, classics, fiction, ebooks"
20,73,5.0,"contemporary, classics, fiction"
20,60,4.0,"classics, fiction, ebooks"
20,28,5.0,"nonfiction, ebooks"
20,84,5.0,"fantasy, art, nonfiction, fiction, classics, science"
20,76,5.0,"romance, classics, fiction, ebooks"
20,48,4.0,"religion, ebooks, romance, fiction, classics"
20,62,4.0,"fantasy, fiction, classics"
20,88,5.0,"nonfiction, psychology, business"
21,79,4.0,"ebooks, biography, fiction, classics, romance, memoir, contemporary"
21,168,2.0,"contemporary, classics, philosophy, fiction, romance, fantasy, ebooks"
21,169,4.0,"ebooks, contemporary, fiction"
21,172,2.0,"memoir, nonfiction, history, biography"
21,44,1.0,"memoir, nonfiction, fiction, biography, contemporary, ebooks"
21,174,2.0,"philosophy, travel, ebooks, horror, history, fiction, classics"
21,175,2.0,"fiction, romance, contemporary, ebooks"
22,4,3.0,"fantasy, fiction, classics, ebooks, science, philosophy, religion"
22,80,3.0,"history, ebooks, contemporary, romance, philosophy, classics, fiction"
22,169,3.0,"contemporary, ebooks, fiction"
22,38,5.0,"history, classics, crime, thriller, contemporary, romance, fantasy, ebooks, fiction, suspense, mystery"
22,40,4.0,"romance, fiction, classics, ebooks, contemporary"
22,177,4.0,"classics, fiction"
23,22,4.0,"fantasy, fiction, classics, contemporary, romance, mystery, paranormal"
23,23,2.0,"fantasy, fiction, classics, paranormal, contemporary, mystery"
23,1,2.0,"fiction, fantasy, classics, contemporary, paranormal, mystery"
23,56,3.0,"fantasy, classics, fiction, science, contemporary, ebooks"
23,69,3.0,"history, nonfiction, science, ebooks, travel, fiction, philosophy"
23,57,5.0,"contemporary, fiction, travel, nonfiction, memoir, ebooks, history, biography"
23,29,2.0,"philosophy, religion, ebooks, science, classics, fantasy, fiction"
23,4,4.0,"philosophy, religion, ebooks, science, fiction, fantasy, classics"
23,6,5.0,"biography, romance, ebooks, contemporary, classics, fiction"
23,31,2.0,"romance, travel, ebooks, science, classics, fantasy, fiction"
23,180,2.0,"science, ebooks, fantasy, fiction"
23,182,1.0,"crime, history, fiction, classics, mystery, contemporary"
23,183,4.0,"fantasy, classics, fiction, travel, history, ebooks"
23,184,3.0,"ebooks, travel, romance, fiction, classics"
24,187,3.0,"mystery, fiction, thriller, crime, ebooks, suspense"
24,188,4.0,"art, ebooks, classics, contemporary, romance, history, fiction"
24,189,5.0,"business, nonfiction, psychology, ebooks"
24,190,3.0,"fiction, fantasy, ebooks, classics, science, philosophy"
24,174,4.0,"philosophy, classics, fiction, history, horror, travel, ebooks"
24,192,4.0,"ebooks, contemporary, fiction, mystery, history, crime"
24,194,4.0,"ebooks, biography, nonfiction, memoir, travel, philosophy, contemporary"
25,1,5.0,"fiction, fantasy, contemporary, paranormal, mystery, classics"
25,28,4.0,"nonfiction, ebooks"
25,3,4.0,"science, classics, philosophy, fiction, religion, ebooks, fantasy"
25,61,5.0,"fiction, fantasy, classics, science, ebooks, philosophy, religion"
25,48,4.0,"ebooks, romance, classics, fiction, religion"
25,179,4.0,"philosophy, ebooks, classics, romance, science, fiction, religion, fantasy"
25,85,3.0,"biography, thriller, crime, classics, history, contemporary, fiction"
25,13,4.0,"travel, biography, fiction, contemporary, history, ebooks, memoir, nonfiction, music"
25,64,3.0,"classics, philosophy, business, contemporary, fantasy, romance, ebooks, science, mystery, fiction"
25,171,2.0,"contemporary, psychology, nonfiction, fantasy, fiction, philosophy, spirituality, ebooks, classics, religion"
25,195,2.0,"classics, history, nonfiction, science, business"
26,29,3.0,"classics, science, ebooks, religion, philosophy, fantasy, fiction"
26,47,5.0,"history, thriller, ebooks, fantasy, classics, fiction"
26,15,2.0,"ebooks, fantasy, history, mystery, thriller, fiction, contemporary, science"
26,170,3.0,"business, fiction, classics, philosophy, psychology, history, nonfiction"
26,200,5.0,"ebooks, biography, history, sports, thriller, suspense, classics, contemporary, travel, memoir, nonfiction"
26,202,5.0,"business, philosophy, classics, history, ebooks, nonfiction, science"
26,203,5.0,"contemporary, fiction"
27,125,2.0,"ebooks, contemporary, fiction, history, biography, memoir, nonfiction, travel"
27,204,4.0,"fiction, fantasy, mystery, crime, ebooks, classics, travel, contemporary, paranormal, science"
27,33,3.0,"ebooks, fiction, classics, contemporary, romance"
27,116,4.0,"fiction, classics"
27,206,3.0,"nonfiction, fiction, history, classics, ebooks, poetry, philosophy"
27,208,3.0,"suspense, fantasy, memoir, fiction, horror, thriller, contemporary, mystery, ebooks"
27,209,4.0,"fiction, thriller, mystery, suspense, romance, history, ebooks, crime"
27,210,4.0,"religion, ebooks, history, nonfiction, philosophy, psychology, science"
28,9,3.0,"science, ebooks, mystery, fantasy, fiction, contemporary, classics, crime"
28,158,5.0,"fantasy, fiction, nonfiction, science, mystery, biography, philosophy, ebooks, religion, classics"
28,62,5.0,"fiction, classics, fantasy"
28,87,3.0,"philosophy, romance, thriller, crime, contemporary, mystery, fiction"
28,64,4.0,"science, romance, fantasy, business, philosophy, classics, fiction, contemporary, ebooks, mystery"
28,16,4.0,"nonfiction, business, art, psychology, science, philosophy, history, classics"
28,65,4.0,"spirituality, ebooks, classics, business, nonfiction"
28,211,2.0,"fantasy, fiction, ebooks"
29,24,5.0,"paranormal, classics, fantasy, fiction, contemporary, mystery"
29,124,5.0,"contemporary, ebooks, science, classics, fiction, fantasy, philosophy"
29,72,3.0,"nonfiction, travel, memoir, biography, fiction, ebooks, history, contemporary"
29,125,5.0,"travel, ebooks, contemporary, fiction, biography, memoir, nonfiction, history"
29,58,4.0,"classics, fiction, ebooks, fantasy"
29,28,4.0,"nonfiction, ebooks"
29,84,4.0,"fiction, classics, science, nonfiction, fantasy, art"
29,30,3.0,"mystery, horror, classics, fiction, fantasy, contemporary, suspense, history, thriller, crime"
29,126,5.0,"fiction, fantasy, classics, science, romance"
29,77,4.0,"contemporary, classics, romance, fiction"
29,147,4.0,"fiction, classics, fantasy, philosophy, spirituality, contemporary, religion, romance, ebooks, travel"
29,132,2.0,"mystery, fiction, fantasy, classics, contemporary"
29,98,5.0,"ebooks, poetry, romance, fantasy, fiction, classics"
29,82,4.0,"religion, mystery, travel, fantasy, classics, ebooks, contemporary, romance, spirituality, fiction, philosophy"
29,215,4.0,"fiction, philosophy, history, poetry"
29,217,5.0,"mystery, fiction, romance, crime, contemporary, suspense, thriller, ebooks"
29,218,5.0,"fiction, mystery, suspense, crime, ebooks, contemporary, thriller"
30,219,4.0,"fiction, fantasy, history, science, philosophy, ebooks"
30,195,4.0,"science, nonfiction, history, classics, business"
30,111,4.0,"nonfiction, classics, business, philosophy, psychology, ebooks"
30,221,4.0,"fiction, classics, contemporary"
30,222,4.0,"psychology, ebooks, suspense, crime, thriller, fiction, mystery"
31,223,4.0,"ebooks, mystery, thriller, crime, fiction, suspense, horror, contemporary"
31,43,1.0,"history, romance, travel, fiction, classics"
31,225,4.0,"fiction, ebooks, nonfiction, biography, science, history, memoir, philosophy, psychology"
31,226,3.0,"classics, romance, poetry, fiction, nonfiction, philosophy"
31,185,3.0,"horror, thriller, fiction, mystery, crime, suspense, ebooks, contemporary"
31,228,3.0,"contemporary, classics, romance, fiction, ebooks"
32,24,3.0,"fantasy, fiction, classics, paranormal, contemporary, mystery"
32,3,3.0,"philosophy, ebooks, religion, science, classics, fantasy, fiction"
32,76,3.0,"classics, romance, ebooks, fiction"
32,48,4.0,"classics, fiction, romance, ebooks, religion"
32,126,3.0,"romance, science, classics, fantasy, fiction"
32,127,4.0,"contemporary, poetry, biography, fiction, nonfiction, memoir"
32,86,4.0,"biography, fiction, classics, history, memoir, contemporary, philosophy, travel, nonfiction"
32,88,3.0,"psychology, nonfiction, business"
32,199,4.0,"nonfiction, philosophy, psychology, classics, fiction, contemporary, history, ebooks, business"
32,118,3.0,"philosophy, biography, business, psychology, history, memoir, nonfiction"
32,230,3.0,"thriller, romance, fiction, suspense, christian, ebooks, horror, fantasy, mystery, religion, contemporary, paranormal"
32,231,4.0,"fiction, thriller, mystery, classics, crime, suspense, ebooks"
32,232,5.0,"fiction, contemporary, classics, ebooks"
32,233,3.0,"classics, ebooks, mystery, contemporary, fiction"
33,180,3.0,"fiction, fantasy, science, ebooks"
33,234,3.0,"mystery, ebooks, religion, contemporary, thriller, classics, science, fantasy, fiction"
33,184,2.0,"travel, classics, ebooks, romance, fiction"
33,237,4.0,"classics, biography, ebooks, fiction, contemporary"
33,192,3.0,"fiction, contemporary, mystery, history, ebooks, crime"
34,14,4.0,"psychology, music, fiction, sports, memoir, biography, history, philosophy, science, contemporary, nonfiction"
34,106,4.0,"memoir, business, philosophy, contemporary, ebooks, romance, fiction, biography, nonfiction, psychology"
34,181,5.0,"classics, poetry, philosophy, history, psychology, fantasy, fiction"
34,40,3.0,"fiction, romance, contemporary, classics, ebooks"
34,220,4.0,"psychology, business, nonfiction, ebooks"
34,238,3.0,"psychology, classics, spirituality, contemporary, christian, fiction, nonfiction, romance, ebooks"
34,240,3.0,"ebooks, romance, contemporary, fiction"
34,78,3.0,"fiction, classics, crime"
34,241,2.0,"history, religion, nonfiction, ebooks, biography, fiction"
34,242,2.0,"fantasy, religion, contemporary, christian, fiction, history"
34,244,2.0,"contemporary, religion, history, classics, fiction"
35,2,5.0,"ebooks, fiction, classics, fantasy"
35,5,3.0,"ebooks, contemporary, romance, memoir, classics, fiction"
35,63,1.0,"thriller, ebooks, fiction, mystery, contemporary, crime, classics"
35,245,3.0,"fiction, fantasy, classics, contemporary"
35,246,3.0,"christian, classics, romance, fantasy, ebooks, contemporary, religion, philosophy, fiction, spirituality, history"
35,248,3.0,"fiction, fantasy, classics, suspense, ebooks, thriller, contemporary, horror"
36,22,5.0,"fantasy, fiction, classics, paranormal, mystery, romance, contemporary"
36,24,5.0,"fantasy, fiction, contemporary, mystery, paranormal, classics"
36,68,3.0,"mystery, paranormal, classics, fiction, fantasy, thriller, contemporary"
36,69,5.0,"fiction, travel, ebooks, philosophy, science, nonfiction, history"
36,70,5.0,"memoir, history, biography, fiction, contemporary, ebooks, nonfiction, travel"
36,72,4.0,"travel, nonfiction, memoir, biography, fiction, history, contemporary, ebooks"
36,125,3.0,"ebooks, contemporary, fiction, biography, memoir, nonfiction, travel, history"
36,59,4.0,"history, fiction, contemporary, classics, ebooks"
36,28,5.0,"nonfiction, ebooks"
36,61,5.0,"fiction, fantasy, classics, ebooks, philosophy, religion, science"
36,84,4.0,"science, classics, fantasy, art, nonfiction, fiction"
36,74,2.0,"history, contemporary, sports, memoir, classics, fiction"
36,131,5.0,"philosophy, fiction, classics, fantasy, science, religion, ebooks"
36,87,5.0,"romance, thriller, fiction, contemporary, mystery, crime, philosophy"
36,88,4.0,"psychology, business, nonfiction"
36,159,3.0,"nonfiction, business, history, biography, fiction, memoir, ebooks"
36,205,4.0,"nonfiction, science, psychology, business, philosophy, history, ebooks, contemporary, fiction"
36,83,4.0,"nonfiction, biography, travel, classics, memoir, fiction, history, contemporary, philosophy, ebooks"
37,28,2.0,"ebooks, nonfiction"
37,5,4.0,"contemporary, ebooks, classics, memoir, romance, fiction"
37,76,4.0,"ebooks, romance, fiction, classics"
37,62,5.0,"classics, fiction, fantasy"
37,127,4.0,"biography, fiction, nonfiction, memoir, poetry, contemporary"
37,88,5.0,"psychology, nonfiction, business"
37,65,3.0,"nonfiction, ebooks, classics, business, spirituality"
37,128,5.0,"thriller, mystery, fiction, crime, classics, ebooks, suspense"
37,250,4.0,"fiction, paranormal, horror, fantasy, comics, manga"
37,251,5.0,"ebooks, fantasy, fiction, mystery, romance, paranormal, contemporary"
37,173,4.0,"history, classics, romance"
37,44,4.0,"fiction, biography, contemporary, ebooks, memoir, nonfiction"
38,123,4.0,"romance, mystery, paranormal, fiction, fantasy"
38,24,1.0,"fiction, fantasy, classics, paranormal, mystery, contemporary"
38,68,1.0,"mystery, contemporary, thriller, fantasy, fiction, classics, paranormal"
38,69,4.0,"history, nonfiction, science, philosophy, ebooks, travel, fiction"
38,70,4.0,"travel, nonfiction, memoir, history, biography, fiction, ebooks, contemporary"
38,71,4.0,"ebooks, fiction, history, travel, biography, memoir, nonfiction, science, contemporary"
38,57,4.0,"nonfiction, travel, fiction, contemporary, ebooks, memoir, biography, history"
38,63,4.0,"ebooks, thriller, classics, crime, contemporary, mystery, fiction"
38,13,3.0,"contemporary, history, ebooks, fiction, biography, memoir, music, nonfiction, travel"
38,33,5.0,"contemporary, romance, classics, ebooks, fiction"
38,147,3.0,"ebooks, spirituality, philosophy, fantasy, classics, fiction, religion, travel, romance, contemporary"
38,97,3.0,"nonfiction, philosophy, fiction, travel, classics, history"
38,89,4.0,"classics, poetry, fantasy, fiction, history, philosophy"
38,119,3.0,"classics, fiction, romance, ebooks"
38,208,3.0,"horror, memoir, suspense, thriller, fantasy, contemporary, ebooks, mystery, fiction"
38,252,4.0,"philosophy, contemporary, fiction, nonfiction, memoir, classics, biography, history, ebooks"
38,94,4.0,"travel, memoir, classics, nonfiction, biography, fiction, history"
38,253,4.0,"fantasy, horror, ebooks, fiction, romance"
39,206,5.0,"fiction, philosophy, nonfiction, history, ebooks, poetry, classics"
39,255,5.0,"spirituality, ebooks, contemporary, biography, fiction, religion, nonfiction, memoir, travel"
39,241,2.0,"biography, fiction, religion, nonfiction, history, ebooks"
39,257,3.0,"classics, fiction, poetry, nonfiction, memoir, biography, contemporary, spirituality, history"
39,259,4.0,"contemporary, fiction, ebooks, classics"
40,125,4.0,"contemporary, fiction, history, biography, memoir, nonfiction, ebooks, travel"
40,25,5.0,"contemporary, ebooks, history, nonfiction"
40,26,1.0,"classics, fantasy, fiction"
40,59,5.0,"classics, ebooks, contemporary, history, fiction"
40,61,5.0,"ebooks, classics, fantasy, fiction, science, philosophy, religion"
40,84,3.0,"art, fantasy, science, classics, fiction, nonfiction"
40,74,4.0,"fiction, classics, history, contemporary, sports, memoir"
40,7,3.0,"poetry, religion, ebooks, spirituality, romance, philosophy, classics, fantasy"
40,126,5.0,"fantasy, classics, science, romance, fiction"
40,86,4.0,"memoir, history, classics, philosophy, fiction, travel, biography, contemporary, nonfiction"
40,132,5.0,"fantasy, mystery, classics, fiction, contemporary"
41,29,4.0,"ebooks, science, fantasy, fiction, classics, philosophy, religion"
41,61,4.0,"philosophy, religion, ebooks, science, classics, fantasy, fiction"
41,76,3.0,"ebooks, romance, fiction, classics"
41,88,3.0,"psychology, nonfiction, business"
41,118,4.0,"philosophy, psychology, history, nonfiction, biography, business, memoir"
41,164,4.0,"contemporary, psychology, memoir, sports, nonfiction, ebooks, science, history, fiction, business, biography"
41,103,4.0,"suspense, fiction, contemporary, music, romance, classics, mystery"
42,47,4.0,"fantasy, history, thriller, ebooks, fiction, classics"
42,49,4.0,"fiction, science, ebooks, classics, fantasy"
42,85,5.0,"contemporary, history, biography, thriller, crime, classics, fiction"
42,261,1.0,"philosophy, ebooks, fantasy, history, fiction, classics, contemporary, science"
42,63,5.0,"thriller, classics, crime, ebooks, contemporary, mystery, fiction"
42,38,5.0,"ebooks, contemporary, suspense, classics, history, crime, thriller, romance, fantasy, mystery, fiction"
42,97,2.0,"nonfiction, classics, history, fiction, philosophy, travel"
42,215,5.0,"philosophy, history, fiction, poetry"
42,40,5.0,"ebooks, classics, contemporary, romance, fiction"
42,99,3.0,"history, fiction, ebooks, fantasy, classics, contemporary, art, mystery, romance, religion"
42,202,4.0,"business, nonfiction, philosophy, classics, history, ebooks, science"
42,263,3.0,"contemporary, fiction, romance, memoir, travel, biography, nonfiction, ebooks"
43,8,4.0,"romance, contemporary, fiction, classics"
43,14,4.0,"music, science, psychology, sports, biography, history, philosophy, contemporary, memoir, nonfiction, fiction"
43,199,4.0,"contemporary, ebooks, business, history, classics, psychology, fiction, nonfiction, philosophy"
43,264,5.0,"philosophy, crime, contemporary, ebooks, memoir, biography, travel, history, fiction, nonfiction, religion, psychology"
43,265,3.0,"romance, fiction, classics, history, ebooks, religion, contemporary"
44,97,4.0,"travel, fiction, philosophy, nonfiction, classics, history"
44,267,3.0,"fiction, mystery, romance, ebooks, suspense, thriller, contemporary"
44,268,5.0,"contemporary, fiction"
44,226,4.0,"poetry, philosophy, nonfiction, romance, fiction, classics"
44,185,4.0,"thriller, suspense, ebooks, horror, contemporary, mystery, crime, fiction"
45,10,4.0,"romance, mystery, ebooks, classics, art, history, fantasy, religion, contemporary, thriller, fiction, suspense"
45,271,5.0,"contemporary, psychology, nonfiction, memoir, fiction, biography"
