user,item,rating,genre
6,57,5.0,"fiction, contemporary, ebooks, history, memoir, nonfiction, travel, biography"
6,58,3.0,"fantasy, classics, fiction, ebooks"
6,59,4.0,"history, ebooks, classics, contemporary, fiction"
6,60,3.0,"classics, fiction, ebooks"
6,28,3.0,"nonfiction, ebooks"
6,61,4.0,"philosophy, religion, ebooks, science, classics, fiction, fantasy"
6,62,3.0,"classics, fiction, fantasy"
6,63,3.0,"mystery, contemporary, crime, thriller, ebooks, classics, fiction"
6,64,3.0,"contemporary, fantasy, romance, mystery, ebooks, science, business, philosophy, fiction, classics"
6,51,3.0,"thriller, mystery, science, fantasy, ebooks, suspense, contemporary, crime, horror, fiction"
6,16,4.0,"philosophy, science, psychology, nonfiction, business, art, history, classics"
6,65,3.0,"nonfiction, business, spirituality, ebooks, classics"
6,66,2.0,"religion, contemporary, classics, fiction, ebooks"
6,67,4.0,"classics, nonfiction, poetry, romance, fiction"
7,22,5.0,"romance, paranormal, mystery, contemporary, fantasy, fiction, classics"
7,23,1.0,"contemporary, fantasy, mystery, fiction, classics, paranormal"
7,68,3.0,"paranormal, classics, thriller, contemporary, mystery, fantasy, fiction"
7,56,4.0,"contemporary, ebooks, fiction, fantasy, classics, science"
7,69,4.0,"fiction, travel, ebooks, philosophy, science, nonfiction, history"
7,70,4.0,"nonfiction, memoir, history, biography, fiction, ebooks, contemporary, travel"
7,71,5.0,"nonfiction, memoir, travel, contemporary, science, ebooks, fiction, history, biography"
7,72,3.0,"history, travel, memoir, biography, fiction, ebooks, contemporary, nonfiction"
7,57,4.0,"travel, nonfiction, memoir, biography, ebooks, history, contemporary, fiction"
7,25,3.0,"ebooks, nonfiction, history, contemporary"
7,58,3.0,"classics, fantasy, ebooks, fiction"
7,73,3.0,"fiction, classics, contemporary"
7,59,4.0,"fiction, history, contemporary, classics, ebooks"
7,4,3.0,"fiction, fantasy, classics, science, ebooks, religion, philosophy"
7,74,5.0,"memoir, fiction, classics, history, sports, contemporary"
7,75,2.0,"romance, contemporary, fiction"
7,5,4.0,"classics, fiction, memoir, romance, ebooks, contemporary"
7,76,4.0,"romance, ebooks, fiction, classics"
7,8,3.0,"contemporary, romance, fiction, classics"
7,62,4.0,"fantasy, fiction, classics"
7,77,4.0,"classics, fiction, contemporary, romance"
7,64,4.0,"contemporary, business, philosophy, classics, fiction, fantasy, romance, mystery, ebooks, science"
7,78,4.0,"fiction, classics, crime"
8,1,5.0,"classics, paranormal, mystery, contemporary, fiction, fantasy"
8,26,4.0,"classics, fantasy, fiction"
8,28,4.0,"nonfiction, ebooks"
8,29,3.0,"science, ebooks, religion, philosophy, fiction, fantasy, classics"
8,3,4.0,"religion, science, classics, fantasy, fiction, ebooks, philosophy"
8,79,4.0,"fiction, romance, memoir, contemporary, classics, biography, ebooks"
8,7,5.0,"poetry, classics, philosophy, romance, spirituality, ebooks, religion, fantasy"
8,47,5.0,"thriller, classics, fiction, fantasy, ebooks, history"
8,8,4.0,"romance, classics, fiction, contemporary"
8,80,4.0,"romance, contemporary, ebooks, classics, fiction, history, philosophy"
8,81,3.0,"nonfiction, philosophy, ebooks, history, science"
8,82,4.0,"philosophy, fiction, mystery, religion, travel, fantasy, romance, contemporary, classics, ebooks, spirituality"
8,83,5.0,"ebooks, philosophy, contemporary, history, fiction, memoir, classics, travel, biography, nonfiction"
9,73,5.0,"contemporary, classics, fiction"
9,61,5.0,"classics, science, philosophy, religion, fiction, fantasy, ebooks"
9,84,5.0,"science, classics, fantasy, art, nonfiction, fiction"
9,74,4.0,"memoir, sports, contemporary, history, classics, fiction"
9,9,3.0,"fiction, fantasy, mystery, ebooks, science, crime, classics, contemporary"
9,49,4.0,"ebooks, fiction, fantasy, classics, science"
9,85,5.0,"history, fiction, classics, contemporary, crime, thriller, biography"
9,86,5.0,"fiction, memoir, travel, biography, nonfiction, philosophy, history, contemporary, classics"
9,77,4.0,"contemporary, classics, romance, fiction"
9,87,5.0,"romance, philosophy, thriller, crime, mystery, contemporary, fiction"
9,14,4.0,"science, psychology, sports, biography, nonfiction, philosophy, contemporary, fiction, memoir, music, history"
9,88,4.0,"business, nonfiction, psychology"
9,89,5.0,"fiction, classics, philosophy, poetry, history, fantasy"
9,90,4.0,"ebooks, fiction, classics, history, travel, nonfiction, biography, memoir"
9,91,5.0,"history, philosophy, nonfiction, science, ebooks"
9,92,5.0,"ebooks, business, nonfiction, biography, history"
9,93,5.0,"ebooks, suspense, crime, classics, mystery, thriller, fiction"
9,94,3.0,"classics, memoir, nonfiction, biography, fiction, history, travel"
9,95,3.0,"fiction, thriller, mystery, suspense, ebooks, contemporary, crime"
10,96,3.0,"nonfiction, biography, fiction, history"
10,97,3.0,"travel, fiction, history, classics, nonfiction, philosophy"
10,98,3.0,"ebooks, fantasy, romance, poetry, fiction, classics"
10,92,4.0,"business, biography, nonfiction, ebooks, history"
10,99,5.0,"fantasy, ebooks, classics, romance, religion, mystery, art, fiction, contemporary, history"
10,100,5.0,"contemporary, classics, fantasy, romance, ebooks, fiction"
10,101,4.0,"science, travel, ebooks, biography, contemporary, fiction"
10,102,4.0,"philosophy, fiction, spirituality, nonfiction, romance, classics, travel, religion, contemporary, ebooks, biography, fantasy, memoir"
10,103,4.0,"romance, music, fiction, contemporary, classics, suspense, mystery"
10,104,3.0,"ebooks, science, fantasy, fiction"
11,105,4.0,"mystery, fantasy, manga, fiction, comics, romance"
11,106,4.0,"contemporary, philosophy, fiction, biography, nonfiction, memoir, romance, ebooks, psychology, business"
11,107,3.0,"classics, fiction, romance, ebooks"
11,108,4.0,"fiction, history, classics, contemporary"
11,109,3.0,"classics, mystery, fiction, crime, suspense, ebooks, thriller"
11,110,4.0,"crime, ebooks, thriller, suspense, fiction, mystery, classics"
11,93,4.0,"ebooks, suspense, crime, classics, mystery, thriller, fiction"
11,102,4.0,"romance, nonfiction, classics, memoir, fantasy, biography, ebooks, contemporary, religion, travel, spirituality, philosophy, fiction"
11,111,3.0,"ebooks, psychology, business, philosophy, classics, nonfiction"
11,112,4.0,"biography, travel, cookbooks, fiction, history, memoir, nonfiction"
11,113,3.0,"fantasy, classics, poetry, fiction"
11,114,3.0,"fiction, romance, ebooks, contemporary"
12,2,3.0,"ebooks, fiction, classics, fantasy"
12,49,3.0,"science, ebooks, classics, fantasy, fiction"
12,77,3.0,"classics, fiction, contemporary, romance"
12,115,3.0,"fiction, contemporary, philosophy, classics"
12,116,4.0,"classics, fiction"
12,117,4.0,"history, ebooks, art, romance, classics, fantasy, mystery, thriller, suspense, crime, fiction, contemporary, religion"
12,118,3.0,"history, memoir, nonfiction, biography, business, philosophy, psychology"
12,97,3.0,"fiction, travel, history, classics, nonfiction, philosophy"
12,89,3.0,"fantasy, philosophy, history, poetry, fiction, classics"
12,119,3.0,"ebooks, romance, fiction, classics"
12,120,3.0,"fiction, romance, contemporary"
12,121,3.0,"thriller, fiction, mystery, contemporary, ebooks, crime, suspense"
12,122,3.0,"history, nonfiction, biography, classics"
13,22,4.0,"romance, mystery, paranormal, classics, fantasy, fiction, contemporary"
13,123,3.0,"mystery, romance, fantasy, paranormal, fiction"
13,24,5.0,"fiction, fantasy, contemporary, mystery, classics, paranormal"
13,56,4.0,"science, classics, fantasy, fiction, contemporary, ebooks"
13,124,3.0,"fiction, fantasy, classics, science, ebooks, contemporary, philosophy"
13,70,3.0,"contemporary, biography, history, ebooks, memoir, fiction, travel, nonfiction"
13,72,1.0,"memoir, nonfiction, travel, fiction, history, contemporary, biography, ebooks"
13,125,4.0,"ebooks, contemporary, fiction, history, biography, memoir, nonfiction, travel"
13,25,5.0,"contemporary, ebooks, history, nonfiction"
13,58,3.0,"fantasy, classics, fiction, ebooks"
13,27,5.0,"science, nonfiction, fiction, art, fantasy"
13,73,4.0,"classics, fiction, contemporary"
13,60,5.0,"classics, ebooks, fiction"
13,61,3.0,"fiction, fantasy, classics, science, ebooks, religion, philosophy"
13,84,4.0,"fiction, fantasy, nonfiction, classics, art, science"
13,76,3.0,"classics, fiction, romance, ebooks"
13,126,3.0,"classics, fantasy, science, romance, fiction"
13,127,3.0,"nonfiction, memoir, contemporary, poetry, biography, fiction"
13,88,4.0,"psychology, nonfiction, business"
13,65,3.0,"spirituality, ebooks, business, classics, nonfiction"
13,128,4.0,"ebooks, thriller, mystery, fiction, crime, classics, suspense"
13,129,5.0,"psychology, religion, history, nonfiction, philosophy, science"
13,130,5.0,"contemporary, ebooks, suspense, crime, thriller, mystery, fiction"
14,22,4.0,"classics, paranormal, mystery, romance, contemporary, fiction, fantasy"
14,26,4.0,"fiction, fantasy, classics"
14,3,5.0,"classics, science, religion, ebooks, philosophy, fantasy, fiction"
14,75,3.0,"fiction, contemporary, romance"
14,8,4.0,"classics, fiction, romance, contemporary"
14,131,4.0,"fiction, classics, ebooks, religion, science, philosophy, fantasy"
14,126,3.0,"fantasy, classics, science, romance, fiction"
14,62,4.0,"classics, fiction, fantasy"
14,86,4.0,"fiction, classics, history, memoir, nonfiction, biography, contemporary, philosophy, travel"
14,14,4.0,"philosophy, history, contemporary, fiction, memoir, music, nonfiction, sports, biography, psychology, science"
14,88,3.0,"nonfiction, business, psychology"
14,64,4.0,"fiction, classics, business, contemporary, fantasy, romance, ebooks, science, mystery, philosophy"
14,132,2.0,"fantasy, mystery, fiction, classics, contemporary"
14,17,3.0,"fiction, ebooks, music, spirituality, philosophy, psychology, business, art, nonfiction"
14,133,3.0,"science, psychology, nonfiction, business"
14,109,2.0,"ebooks, suspense, thriller, fiction, crime, mystery, classics"
14,134,3.0,"fiction, contemporary, mystery, romance, fantasy, classics, science, ebooks"
15,135,4.0,"classics, fiction, ebooks, romance"
15,136,4.0,"fiction, contemporary, ebooks"
15,137,2.0,"crime, fiction, mystery, thriller, ebooks, suspense, contemporary, classics"
15,138,2.0,"romance, contemporary, fiction, classics, ebooks"
15,139,5.0,"travel, science, nonfiction, history, fiction, biography, ebooks"
15,140,2.0,"history, romance, fiction, contemporary, mystery, suspense, thriller, ebooks"
15,141,3.0,"fiction, classics, fantasy, thriller, mystery, contemporary, philosophy, crime, manga, comics"
15,142,2.0,"fiction, classics"
15,143,3.0,"fiction, ebooks, fantasy"
15,144,2.0,"fantasy, fiction, classics, ebooks"
15,145,2.0,"fantasy, classics, ebooks, science, fiction"
16,85,3.0,"biography, thriller, contemporary, fiction, crime, classics, history"
16,50,3.0,"thriller, contemporary, crime, classics, philosophy, comics, fiction, mystery"
16,14,5.0,"biography, science, nonfiction, psychology, memoir, fiction, contemporary, philosophy, history, music, sports"
16,146,4.0,"fiction, history, contemporary, fantasy, classics"
16,33,4.0,"ebooks, contemporary, romance, fiction, classics"
16,147,5.0,"religion, contemporary, romance, ebooks, spirituality, philosophy, fantasy, travel, classics, fiction"
16,116,4.0,"classics, fiction"
16,148,5.0,"ebooks, fiction, cookbooks, nonfiction"
16,97,5.0,"travel, fiction, philosophy, nonfiction, classics, history"
16,149,4.0,"fiction, fantasy, philosophy, ebooks, horror"
16,150,4.0,"ebooks, contemporary, fiction, romance"
16,151,4.0,"fantasy, history, romance, fiction, classics, ebooks"
17,41,3.0,"nonfiction, science, history, philosophy, ebooks, fiction, classics"
17,42,2.0,"nonfiction, science, history, cookbooks, ebooks, memoir, philosophy"
17,152,3.0,"ebooks, suspense, fiction, crime, classics, mystery, thriller"
17,153,3.0,"history, thriller, fantasy, mystery, fiction, horror, ebooks, suspense, paranormal"
17,154,3.0,"classics, fiction, history"
17,111,1.0,"classics, philosophy, business, psychology, ebooks, nonfiction"
17,155,3.0,"ebooks, crime, suspense, thriller, mystery, fiction, contemporary, romance"
17,95,4.0,"ebooks, contemporary, suspense, crime, mystery, thriller, fiction"
17,156,4.0,"biography, nonfiction, history, classics, memoir, fiction, religion"
17,157,4.0,"ebooks, romance, fiction, classics"
18,158,5.0,"philosophy, classics, religion, ebooks, biography, mystery, nonfiction, science, fantasy, fiction"
18,51,3.0,"fiction, thriller, mystery, fantasy, crime, horror, contemporary, ebooks, suspense, science"
18,37,3.0,"history, nonfiction, biography, fiction, ebooks, classics"
18,159,5.0,"business, history, biography, nonfiction, memoir, fiction, ebooks"
18,38,3.0,"history, classics, suspense, mystery, fantasy, romance, ebooks, crime, fiction, contemporary, thriller"
18,40,3.0,"classics, ebooks, romance, contemporary, fiction"
18,160,2.0,contemporary
18,161,3.0,"nonfiction, business"
18,162,4.0,"fiction, history, business, nonfiction"
18,163,2.0,"nonfiction, business, philosophy, history"
19,76,4.0,"ebooks, romance, fiction, classics"
19,30,4.0,"thriller, crime, fantasy, mystery, history, suspense, contemporary, horror, fiction, classics"
19,126,3.0,"romance, fiction, fantasy, classics, science"
19,164,2.0,"memoir, contemporary, ebooks, psychology, sports, nonfiction, business, biography, history, science, fiction"
19,17,5.0,"ebooks, fiction, art, nonfiction, business, music, spirituality, philosophy, psychology"
19,165,4.0,"romance, ebooks, travel, contemporary, history, fiction"
19,43,3.0,"history, romance, travel, fiction, classics"
19,160,3.0,contemporary
19,166,4.0,"history, philosophy, fantasy, science, fiction, travel, nonfiction"
19,167,3.0,"biography, classics, memoir, contemporary, nonfiction, history, fiction"
20,24,5.0,"contemporary, mystery, paranormal, classics, fiction, fantasy"
20,68,4.0,"classics, fiction, thriller, contemporary, mystery, paranormal, fantasy"
20,56,5.0,"fantasy, fiction, contemporary, ebooks, science, classics"
20,72,3.0,"contemporary, ebooks, history, fiction, memoir, biography, travel, nonfiction"
20,58,4.0,"fantasy, classics, fiction, ebooks"
20,73,5.0,"contemporary, classics, fiction"
20,59,4.0,"classics, ebooks, fiction, history, contemporary"
20,60,4.0,"classics, fiction, ebooks"
20,28,5.0,"nonfiction, ebooks"
20,61,5.0,"classics, science, ebooks, religion, philosophy, fiction, fantasy"
20,84,5.0,"fantasy, art, nonfiction, fiction, classics, science"
20,76,5.0,"romance, classics, fiction, ebooks"
20,48,4.0,"religion, ebooks, romance, fiction, classics"
20,62,4.0,"fantasy, fiction, classics"
20,88,5.0,"nonfiction, psychology, business"
20,66,4.0,"ebooks, religion, contemporary, classics, fiction"
21,79,4.0,"ebooks, biography, fiction, classics, romance, memoir, contemporary"
21,168,2.0,"contemporary, classics, philosophy, fiction, romance, fantasy, ebooks"
21,169,4.0,"ebooks, contemporary, fiction"
21,132,1.0,"contemporary, classics, fantasy, mystery, fiction"
21,170,2.0,"business, fiction, nonfiction, classics, philosophy, psychology, history"
21,17,4.0,"spirituality, music, ebooks, fiction, psychology, business, art, nonfiction, philosophy"
21,171,2.0,"fantasy, nonfiction, classics, psychology, fiction, religion, ebooks, philosophy, spirituality, contemporary"
21,172,2.0,"memoir, nonfiction, history, biography"
21,173,2.0,"romance, history, classics"
21,44,1.0,"memoir, nonfiction, fiction, biography, contemporary, ebooks"
21,174,2.0,"philosophy, travel, ebooks, horror, history, fiction, classics"
21,175,2.0,"fiction, romance, contemporary, ebooks"
22,4,3.0,"fantasy, fiction, classics, ebooks, science, philosophy, religion"
22,80,3.0,"history, ebooks, contemporary, romance, philosophy, classics, fiction"
22,169,3.0,"contemporary, ebooks, fiction"
22,37,5.0,"history, nonfiction, biography, fiction, classics, ebooks"
22,38,5.0,"history, classics, crime, thriller, contemporary, romance, fantasy, ebooks, fiction, suspense, mystery"
22,171,3.0,"spirituality, contemporary, religion, fiction, fantasy, nonfiction, classics, psychology, ebooks, philosophy"
22,40,4.0,"romance, fiction, classics, ebooks, contemporary"
22,41,5.0,"nonfiction, science, history, philosophy, ebooks, fiction, classics"
22,176,3.0,"ebooks, history, fiction, mystery, romance, paranormal, fantasy"
22,177,4.0,"classics, fiction"
22,178,3.0,"fiction, paranormal, ebooks, fantasy, classics"
23,22,4.0,"fantasy, fiction, classics, contemporary, romance, mystery, paranormal"
23,23,2.0,"fantasy, fiction, classics, paranormal, contemporary, mystery"
23,1,2.0,"fiction, fantasy, classics, contemporary, paranormal, mystery"
23,56,3.0,"fantasy, classics, fiction, science, contemporary, ebooks"
23,69,3.0,"history, nonfiction, science, ebooks, travel, fiction, philosophy"
23,71,3.0,"nonfiction, biography, contemporary, science, ebooks, fiction, history, travel, memoir"
23,57,5.0,"contemporary, fiction, travel, nonfiction, memoir, ebooks, history, biography"
23,29,2.0,"philosophy, religion, ebooks, science, classics, fantasy, fiction"
23,4,4.0,"philosophy, religion, ebooks, science, fiction, fantasy, classics"
23,6,5.0,"biography, romance, ebooks, contemporary, classics, fiction"
23,31,2.0,"romance, travel, ebooks, science, classics, fantasy, fiction"
23,179,2.0,"philosophy, ebooks, science, religion, fantasy, fiction, romance, classics"
23,158,4.0,"fiction, nonfiction, fantasy, religion, classics, ebooks, biography, mystery, science, philosophy"
23,180,2.0,"science, ebooks, fantasy, fiction"
23,181,4.0,"philosophy, poetry, classics, fiction, history, psychology, fantasy"
23,182,1.0,"crime, history, fiction, classics, mystery, contemporary"
23,183,4.0,"fantasy, classics, fiction, travel, history, ebooks"
23,184,3.0,"ebooks, travel, romance, fiction, classics"
23,185,2.0,"thriller, suspense, ebooks, horror, contemporary, fiction, mystery, crime"
24,180,3.0,"science, fantasy, fiction, ebooks"
24,186,3.0,"philosophy, religion, history, romance, poetry, fantasy, classics, fiction"
24,187,3.0,"mystery, fiction, thriller, crime, ebooks, suspense"
24,188,4.0,"art, ebooks, classics, contemporary, romance, history, fiction"
24,189,5.0,"business, nonfiction, psychology, ebooks"
24,190,3.0,"fiction, fantasy, ebooks, classics, science, philosophy"
24,174,4.0,"philosophy, classics, fiction, history, horror, travel, ebooks"
24,191,5.0,"history, romance, contemporary, fiction"
24,177,3.0,"fiction, classics"
24,192,4.0,"ebooks, contemporary, fiction, mystery, history, crime"
24,193,5.0,"nonfiction, fantasy, fiction"
24,194,4.0,"ebooks, biography, nonfiction, memoir, travel, philosophy, contemporary"
25,1,5.0,"fiction, fantasy, contemporary, paranormal, mystery, classics"
25,28,4.0,"nonfiction, ebooks"
25,3,4.0,"science, classics, philosophy, fiction, religion, ebooks, fantasy"
25,61,5.0,"fiction, fantasy, classics, science, ebooks, philosophy, religion"
25,75,4.0,"fiction, contemporary, romance"
25,5,4.0,"classics, fiction, memoir, romance, contemporary, ebooks"
25,48,4.0,"ebooks, romance, classics, fiction, religion"
25,179,4.0,"philosophy, ebooks, classics, romance, science, fiction, religion, fantasy"
25,85,3.0,"biography, thriller, crime, classics, history, contemporary, fiction"
25,13,4.0,"travel, biography, fiction, contemporary, history, ebooks, memoir, nonfiction, music"
25,64,3.0,"classics, philosophy, business, contemporary, fantasy, romance, ebooks, science, mystery, fiction"
25,171,2.0,"contemporary, psychology, nonfiction, fantasy, fiction, philosophy, spirituality, ebooks, classics, religion"
25,195,2.0,"classics, history, nonfiction, science, business"
25,196,3.0,"classics, fiction, ebooks, fantasy"
25,67,4.0,"nonfiction, poetry, fiction, romance, classics"
25,197,4.0,"fiction, classics, romance, psychology, contemporary, travel, biography, memoir, nonfiction, ebooks"
26,29,3.0,"classics, science, ebooks, religion, philosophy, fantasy, fiction"
26,4,4.0,"philosophy, religion, ebooks, science, classics, fantasy, fiction"
26,47,5.0,"history, thriller, ebooks, fantasy, classics, fiction"
26,77,5.0,"romance, contemporary, fiction, classics"
26,198,1.0,"fiction, romance"
26,199,5.0,"classics, psychology, nonfiction, philosophy, history, contemporary, fiction, business, ebooks"
26,15,2.0,"ebooks, fantasy, history, mystery, thriller, fiction, contemporary, science"
26,170,3.0,"business, fiction, classics, philosophy, psychology, history, nonfiction"
26,200,5.0,"ebooks, biography, history, sports, thriller, suspense, classics, contemporary, travel, memoir, nonfiction"
26,201,5.0,"nonfiction, philosophy, science, history, business"
26,202,5.0,"business, philosophy, classics, history, ebooks, nonfiction, science"
26,203,5.0,"contemporary, fiction"
27,68,4.0,"thriller, mystery, contemporary, paranormal, classics, fiction, fantasy"
27,125,2.0,"ebooks, contemporary, fiction, history, biography, memoir, nonfiction, travel"
27,131,5.0,"philosophy, fiction, classics, fantasy, science, religion, ebooks"
27,204,4.0,"fiction, fantasy, mystery, crime, ebooks, classics, travel, contemporary, paranormal, science"
27,33,3.0,"ebooks, fiction, classics, contemporary, romance"
27,116,4.0,"fiction, classics"
27,205,2.0,"contemporary, fiction, business, psychology, science, nonfiction, history, ebooks, philosophy"
27,206,3.0,"nonfiction, fiction, history, classics, ebooks, poetry, philosophy"
27,207,4.0,"fiction, ebooks, classics, philosophy, nonfiction, science, history"
27,208,3.0,"suspense, fantasy, memoir, fiction, horror, thriller, contemporary, mystery, ebooks"
27,209,4.0,"fiction, thriller, mystery, suspense, romance, history, ebooks, crime"
27,210,4.0,"religion, ebooks, history, nonfiction, philosophy, psychology, science"
27,151,3.0,"fantasy, history, romance, fiction, classics, ebooks"
28,3,3.0,"fiction, fantasy, classics, science, religion, philosophy, ebooks"
28,9,3.0,"science, ebooks, mystery, fantasy, fiction, contemporary, classics, crime"
28,158,5.0,"fantasy, fiction, nonfiction, science, mystery, biography, philosophy, ebooks, religion, classics"
28,62,5.0,"fiction, classics, fantasy"
28,87,3.0,"philosophy, romance, thriller, crime, contemporary, mystery, fiction"
28,64,4.0,"science, romance, fantasy, business, philosophy, classics, fiction, contemporary, ebooks, mystery"
28,16,4.0,"nonfiction, business, art, psychology, science, philosophy, history, classics"
28,65,4.0,"spirituality, ebooks, classics, business, nonfiction"
28,211,2.0,"fantasy, fiction, ebooks"
28,212,5.0,"thriller, fiction, ebooks, suspense, crime, classics, mystery"
28,160,1.0,contemporary
28,213,4.0,"classics, fiction, philosophy, nonfiction, psychology, history, science, ebooks, fantasy, romance, religion"
28,55,3.0,"spirituality, philosophy, nonfiction, business, psychology"
29,24,5.0,"paranormal, classics, fantasy, fiction, contemporary, mystery"
29,68,5.0,"classics, fiction, fantasy, paranormal, mystery, contemporary, thriller"
29,124,5.0,"contemporary, ebooks, science, classics, fiction, fantasy, philosophy"
29,72,3.0,"nonfiction, travel, memoir, biography, fiction, ebooks, history, contemporary"
29,125,5.0,"travel, ebooks, contemporary, fiction, biography, memoir, nonfiction, history"
29,26,5.0,"fiction, fantasy, classics"
29,58,4.0,"classics, fiction, ebooks, fantasy"
29,28,4.0,"nonfiction, ebooks"
29,84,4.0,"fiction, classics, science, nonfiction, fantasy, art"
29,30,3.0,"mystery, horror, classics, fiction, fantasy, contemporary, suspense, history, thriller, crime"
29,126,5.0,"fiction, fantasy, classics, science, romance"
29,77,4.0,"contemporary, classics, romance, fiction"
29,146,5.0,"fiction, contemporary, fantasy, classics, history"
29,214,3.0,"thriller, ebooks, science, history, fantasy, fiction, philosophy"
29,147,4.0,"fiction, classics, fantasy, philosophy, spirituality, contemporary, religion, romance, ebooks, travel"
29,132,2.0,"mystery, fiction, fantasy, classics, contemporary"
29,98,5.0,"ebooks, poetry, romance, fantasy, fiction, classics"
29,82,4.0,"religion, mystery, travel, fantasy, classics, ebooks, contemporary, romance, spirituality, fiction, philosophy"
29,215,4.0,"fiction, philosophy, history, poetry"
29,216,4.0,"ebooks, fiction, fantasy, science, mystery"
29,217,5.0,"mystery, fiction, romance, crime, contemporary, suspense, thriller, ebooks"
